Fuel Type,Year,Value
"Bagasse, wood",2012,1606.3
Biogas,2012,1437.4
Wind,2012,6969.8
Hydro,2012,14083.3
Large-scale solar PV,2012,0.0
Small-scale solar PV,2012,2558.6
"Bagasse, wood",2013,1714.3
Biogas,2013,1429.2
Wind,2013,7959.6
Hydro,2013,18269.6
Large-scale solar PV,2013,0.0
Small-scale solar PV,2013,3826.2
"Bagasse, wood",2014,2053.5
Biogas,2014,1445.9
Wind,2014,10251.9
Hydro,2014,18420.9
Large-scale solar PV,2014,49.7
Small-scale solar PV,2014,4366.3
"Bagasse, wood",2015,2353.4
Biogas,2015,1238.9
Wind,2015,11466.5
Hydro,2015,13445.0
Large-scale solar PV,2015,107.2
Small-scale solar PV,2015,5424.1
"Bagasse, wood",2016,2493.4
Biogas,2016,1296.5
Wind,2016,12199.5
Hydro,2016,15318.2
Large-scale solar PV,2016,457.2
Small-scale solar PV,2016,6381.0
"Bagasse, wood",2017,2251.6
Biogas,2017,1249.0
Wind,2017,12597.0
Hydro,2017,16284.9
Large-scale solar PV,2017,672.4
Small-scale solar PV,2017,7399.3
"Bagasse, wood",2018,2258.9
Biogas,2018,1258.8
Wind,2018,15174.4
Hydro,2018,16020.8
Large-scale solar PV,2018,1007.6
Small-scale solar PV,2018,8922.4
"Bagasse, wood",2019,2152.2
Biogas,2019,1343.6
Wind,2019,17712.0
Hydro,2019,15967.3
Large-scale solar PV,2019,3732.4
Small-scale solar PV,2019,11116.2
"Bagasse, wood",2020,1989.8
Biogas,2020,1361.9
Wind,2020,20395.9
Hydro,2020,15149.6
Large-scale solar PV,2020,7136.1
Small-scale solar PV,2020,13897.1
"Bagasse, wood",2021,1992.2
Biogas,2021,1354.0
Wind,2021,24535.4
Hydro,2021,15199.7
Large-scale solar PV,2021,9637.9
Small-scale solar PV,2021,18079.1
"Bagasse, wood",2022,1817.5
Biogas,2022,1372.8
Wind,2022,29107.8
Hydro,2022,17010.9
Large-scale solar PV,2022,12569.2
Small-scale solar PV,2022,22117.5
"Bagasse, wood",2023,1687.7
Biogas,2023,1405.1
Wind,2023,31384.9
Hydro,2023,16666.1
Large-scale solar PV,2023,16059.8
Small-scale solar PV,2023,25908.7
