Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,ABW,Aruba,0.025213789,0.028827752,0.039472108,0.044289439,0.043469147,0.057396274,0.05642291,0.067099763,0.071936981,0.075919037,0.079799629,0.082922216,0.082165195,0.084463318,0.098628911,0.104177531,0.113781976,0.128736676,0.142889819,0.197471823,0.189326103,0.215380098,0.238992682,0.241132263,0.266496346,0.294590739,0.194072506,0.318321531,0.325822455,0.315754505,0.246084298,0.254071672,0.272610502,0.31660797,0.326958298,0.358222682,0.385569497,0.424490755,0.420771139,0.458062746,0.450067122,0.275408989,0.368543797,0.424889796,0.435250166,0.436735938,0.453740207,0.42684207,0.461101331,0.53384758,0.453586967,0.437952665,0.455064864
CO2,AFG,Afghanistan,1.734053007,1.733842398,1.693672367,1.733882869,2.190253892,2.028877749,1.892591452,2.282428789,1.93397397,2.059180258,2.006282668,2.259792838,2.309460648,3.001547188,3.224530167,4.123179194,3.941435631,3.272644266,3.087810224,2.895939723,2.896489881,2.766347132,1.682617994,1.608277849,1.535773339,1.359508997,1.331667485,1.315421267,1.325814301,1.283226656,1.071216778,0.988309921,0.972880801,1.058752929,0.9391657,1.333833152,1.477355362,2.063581938,4.029581323,6.486434343,8.086282139,11.80061435,10.17658651,8.69107407,8.279686389,8.719594839,7.937268307,8.546887543,8.128904313,7.44790224,5.468681001,5.639214369,5.675770659
CO2,AGO,Angola,8.948152992,8.533778718,10.38370373,11.36732743,11.82785646,10.92409928,7.310833038,12.05107621,14.23240471,14.1973561,14.334664,13.24820379,12.78751755,13.24323975,13.3816829,14.13224176,14.28082758,14.54576229,14.99629177,15.15904743,11.28883133,11.84142074,12.18645181,12.20360747,11.55781037,13.02919054,15.76222931,16.48956329,17.12696461,18.12313944,16.60352829,16.2830384,16.02501616,17.43843145,17.8038281,15.9641129,16.72263497,17.23556643,19.48900662,21.31087271,22.96184022,23.85462843,24.17821389,27.81283283,30.38516604,32.59642457,30.53968511,26.13739933,24.65034199,25.32660459,20.7190364,21.56059954,20.18566845
CO2,AIA,Anguilla,0.002177587,0.002177689,0.00227319,0.00211848,0.002359836,0.002593654,0.002444145,0.002546772,0.002911353,0.003222756,0.004422364,0.006649427,0.007028416,0.006098383,0.005810647,0.003680496,0.003164626,0.006136321,0.005808208,0.00616006,0.006126523,0.00759202,0.007915973,0.009965647,0.013145114,0.016409894,0.016227945,0.013578708,0.012464076,0.0117665,0.015547556,0.015926577,0.010875333,0.014123901,0.013489464,0.013679755,0.012831096,0.012373733,0.015287871,0.02018065,0.024024484,0.026028307,0.026043738,0.027961269,0.02791705,0.028026636,0.028361313,0.029084088,0.028244835,0.027602021,0.022801673,0.022015917,0.022819879
CO2,AIR,International Aviation,168.6025154,168.6025154,178.8060502,186.4739584,179.4544919,173.5397005,173.8524567,189.577157,196.3834426,203.1325348,201.9339789,201.3271701,208.5219301,210.3928539,218.2954498,224.4027553,246.6058183,260.6092178,275.3388958,289.3071476,258.2695314,251.1699513,259.4351912,264.4526036,277.8387002,288.346258,300.0477278,314.6845494,325.0549527,338.8677402,351.2157013,345.405802,365.8567503,363.8294041,392.93204,417.7461424,433.2091333,446.8564999,454.4349845,433.2442532,458.8045558,473.5256301,473.6884888,481.6120758,497.3298679,525.8753816,548.4834487,583.3149976,609.3204042,619.2339043,295.392661,340.8376858,420.3664792
CO2,ALB,Albania,4.848780413,4.841912161,5.523181838,4.956735366,5.333671851,5.428344922,5.80102198,6.205497453,6.826004913,7.941258311,8.07806471,7.075386987,7.27559974,7.795043353,8.434416028,8.076762825,8.15422646,8.295497599,8.20231567,7.908564599,6.647428529,4.381484727,2.364470853,2.224097086,2.345499106,2.071400786,2.056023486,1.581166253,1.915387848,3.08135526,3.229254448,3.439975219,4.007186247,4.212021374,4.415030763,4.149408558,4.135796224,4.245634144,4.195900686,4.275886037,4.558512066,4.960889842,4.535156137,4.770769274,5.102033564,4.868581108,4.528971871,5.349309071,5.272967643,4.956432704,4.302751577,4.358152749,4.486209188
CO2,ANT,Curaçao,14.51578259,14.51579873,14.11395961,15.6086741,14.124013,10.19675071,10.84914643,10.98319574,9.271818194,9.182436546,8.677756728,8.042036708,7.29581279,6.828843668,6.690712727,4.499205794,4.297082947,3.965313373,3.459351191,2.956711947,2.6663901,2.765856959,2.883424418,2.366961125,2.665048843,2.671563426,2.700203521,5.302693729,5.479720839,5.445561426,5.667477984,5.656304646,5.420205558,5.426900664,5.633130196,5.910368103,5.778788534,6.257560769,6.196604366,5.876045639,4.285557373,5.518041044,5.604562772,5.138578276,5.666584102,5.73633823,4.964960966,4.005927438,3.230426085,2.504101609,2.051381014,1.975774755,2.046833626
CO2,ARE,United Arab Emirates,19.42921058,25.39424137,27.70698835,35.79216089,35.95435065,36.62254058,45.51562235,45.8092434,52.54973105,37.81781956,41.08115011,38.00476328,38.02275856,36.75390138,49.94488575,51.77695261,50.19431723,52.02640006,50.94312738,56.88005674,56.8256212,64.65092622,62.44629925,65.84068604,72.4946522,77.32902744,80.8167673,84.22406486,86.39945849,89.08193287,88.38019061,101.1854972,103.4492448,108.7420579,114.9386756,122.3798075,127.1091634,137.056927,164.1630463,165.2566649,171.8705579,177.1729449,185.8647764,195.8160012,198.8241219,207.63822,213.2054551,205.196143,187.9062483,198.5420198,201.0021392,214.4512824,218.7993478
CO2,ARG,Argentina,87.00687503,87.32837346,89.1717769,92.23497172,92.7676131,90.37048159,95.02267268,98.91905087,98.0231388,103.6042061,101.0998111,98.1872689,97.30986147,100.7434131,100.1740607,93.53131019,100.8652639,106.5280523,110.2514817,106.9292604,99.53159967,104.8623324,106.7777277,110.7012312,114.16838,115.7413679,126.1208852,130.3074979,137.3603662,139.2803473,136.1136068,130.4901804,122.8898756,134.1583269,148.9304753,152.7736675,161.8900516,171.3099567,176.6377849,163.3895268,175.3995548,184.2543539,185.818986,191.6391694,187.7887452,193.7551636,191.4693875,188.4326435,186.2834403,177.5432199,164.0261534,181.4510389,184.0372117
CO2,ARM,Armenia,12.67360421,13.01868582,13.75917083,14.55437422,15.30485126,16.32033903,16.7442365,17.16099573,17.82821155,18.29717392,19.18528884,19.02714799,19.33522896,19.2096862,19.36227129,19.48631629,19.84209921,20.42359382,20.6701655,20.61185168,20.60467834,21.46484789,10.92007741,5.093064733,2.808347499,3.541232624,2.594100237,3.338394813,3.472661006,3.104202994,3.569612342,3.633318302,3.101336213,3.470678838,3.759019288,4.462479672,4.445468888,5.154026808,5.648247485,4.501813696,4.29882778,4.903744036,5.66920247,5.48125192,5.472247166,5.334191119,5.078904868,5.38077395,5.69474427,6.181980294,6.703798888,6.927848138,6.32652736
