Entity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,1670397.0,1893554.0,1530347.0,1635454.0,1913152.0,2121383.0,1980859.0,2384175.0,2153300.0,2232754.0,1756302.0,1978463.0,2094580.9,2519954.0,2821540.0,3501422.0,3133645.0,3113826.0,2856896.0,2764855.0,2024326.1,1914301.0,1482054.0,1486943.0,1453829.0,1417327.0,1370104.0,1304152.0,1278504.0,1091640.0,1047127.94,1069098.0,1340995.0,1559602.0,1237247.0,1889507.0,2159318.0,2799909.0,4254477.0,6391888.0,8364803.5,11838316.0,10035314.0,9250510.0,9170309.0,9791093.0,9067598.0,9867969.0,10818048.0,11081621.0,11888066.0,12283148.0,12147948.0
Africa,302623900.0,331861400.0,351871100.0,378003360.0,388389600.0,387265120.0,420141100.0,433115100.0,462487070.0,499060700.0,535678370.0,548570700.0,571727200.0,594561000.0,649325060.0,665686400.0,689698050.0,689703300.0,724696800.0,697796860.0,658281400.0,687829100.0,666901500.0,706661500.0,790281400.0,844556600.0,872320830.0,893989200.0,912442100.0,899677440.0,930042600.0,919542850.0,899274200.0,988565440.0,1044866750.0,1063180000.0,1092165900.0,1122721400.0,1175619600.0,1173163400.0,1215373700.0,1255083900.0,1255851500.0,1265469700.0,1344915500.0,1319787300.0,1355493500.0,1369709700.0,1357075100.0,1457568100.0,1356435700.0,1435214100.0,1416626600.0
Africa (GCP),302623900.0,331861400.0,351871100.0,378003330.0,388389600.0,387265150.0,420141060.0,433115100.0,462487040.0,499060700.0,535678370.0,548563300.0,571723500.0,594557300.0,649321340.0,665682750.0,689694460.0,689699650.0,724689500.0,697789500.0,658274100.0,687821800.0,666894140.0,706650500.0,790270400.0,844545600.0,872309900.0,893978200.0,912431170.0,899666500.0,930031600.0,919531900.0,899263200.0,988554430.0,1044855700.0,1063169100.0,1092154900.0,1122710400.0,1175608600.0,1173152500.0,1215362700.0,1255072900.0,1255840500.0,1265458700.0,1344904400.0,1319776300.0,1355478800.0,1369698800.0,1357064100.0,1457553400.0,1356417400.0,1435196400.0,1416608800.0
Albania,3739486.0,4348023.0,5637977.0,5286406.0,4341512.0,4591172.0,4947198.0,5717343.0,6491245.0,7583971.0,5170837.0,7339622.0,7307607.0,7630809.0,7825903.0,7881540.0,8058077.0,7447081.0,7329222.0,8986169.0,5520602.0,4290226.0,2517116.0,2337999.0,1923806.0,2089065.1,2017508.0,1543009.0,1754709.0,2986196.0,3024926.0,3220656.0,3748272.0,4303499.0,4176684.0,4261413.0,3910715.0,3948970.0,4397043.0,4406552.0,4783865.0,5314676.0,4850060.0,5287465.0,5999650.0,4712144.0,4631979.0,5293048.0,4894953.0,4826944.0,5018921.0,4903652.0,4954730.0
Algeria,15058960.0,18649530.0,28322640.0,38277400.0,31876660.0,32001206.0,39131068.0,41844910.0,62455264.0,45545550.0,66416464.0,46341984.0,39173030.0,52503910.0,70946536.0,72609070.0,76080390.0,83883496.0,83708040.0,79808264.0,76737624.0,78806830.0,79883310.0,81943970.0,88608390.0,96776920.0,100039430.0,88369416.0,106536560.0,91449100.0,85398600.0,86839250.0,90692380.0,94580616.0,91714220.0,110992510.0,105896180.0,109889440.0,111087410.0,118856330.0,118353256.0,125094570.0,135674290.0,140786380.0,151282780.0,160087460.0,158481630.0,165089600.0,171276020.0,178577220.0,169892770.0,180225200.0,176345140.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406704.0,406704.0,406704.0,410368.0,406704.0,425024.0,454336.0,465328.0,490976.0,512960.03,523952.0,523952.0,531280.0,534944.0,560592.0,575248.0,545936.0,538608.0,538608.0,516623.97,516623.97,490976.0,487312.0,476320.0,461664.0,465328.0,468992.0,465328.0,494640.0,483648.0,373728.0,363046.0,368645.0
Angola,3577917.0,3405383.0,4500532.0,4873664.0,4866398.0,4408811.0,3280042.0,3527511.0,5399808.0,5489191.0,5334352.0,5266774.0,4635179.0,5100535.0,4985847.0,4676114.0,4633840.0,5786029.0,5049306.0,4922750.0,5089864.0,5064054.0,5164449.0,5748389.0,11353248.0,12616650.0,15248957.0,15884249.0,16513294.0,17261278.0,15995108.0,15908461.0,16080002.0,17484428.0,17015688.0,15386819.0,17144838.0,17587936.0,18750156.0,20668332.0,22983320.0,23397032.0,25940960.0,25709742.0,24767724.0,26030358.0,23992706.0,22617028.0,21434458.0,19222174.0,16764786.0,17505714.0,16070269.0
Anguilla,,,,,,,,,,,,,,,,,,,,,47632.0,47632.0,47632.0,54960.0,54960.0,58624.0,62288.0,62288.0,65952.0,65952.0,76944.0,84272.0,84272.0,87936.0,102592.0,109920.0,120912.0,124576.0,124576.0,124576.0,131904.0,124576.0,120912.0,117248.0,120912.0,139232.0,139232.0,128240.01,131904.0,146560.0,142896.0,137698.0,138967.0
Antarctica,,,,,,,,,,,,,,,,,,3664.0,7328.0,7328.0,10992.0,14656.0,14656.0,14656.0,14656.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,7328.0,7328.0,7328.0,10992.0,,,,,,,,,,,,,,,
Antigua and Barbuda,461664.0,425024.0,373728.0,329760.0,428688.0,707152.0,403040.0,465328.0,490976.0,406704.0,142896.0,106256.0,293120.0,84272.0,146560.0,249152.0,249152.0,274800.0,285792.0,285792.0,241824.0,249152.0,249152.0,256480.02,267472.0,271136.0,289456.0,311440.0,322432.0,344416.0,355408.0,370064.0,406704.0,428688.0,450672.0,479984.0,516623.97,534944.0,538608.0,556928.0,549600.0,545936.0,556928.0,556928.0,567920.0,582576.0,597232.0,604560.0,615552.0,641200.0,619216.0,596693.0,602192.0
