Renewable fuels,Year,Value
"Bagasse, wood",1990,750.0
Biogas,1990,
Wind,1990,
Hydro,1990,"14,880.0"
Large-scale solar PV,1990,
Small-scale solar PV,1990,
Geothermal,1990,
,1990,
"Bagasse, wood",1991,769.0
Biogas,1991,
Wind,1991,
Hydro,1991,"16,103.0"
Large-scale solar PV,1991,
Small-scale solar PV,1991,
Geothermal,1991,
,1991,
"Bagasse, wood",1992,670.0
Biogas,1992,
Wind,1992,
Hydro,1992,"15,768.0"
Large-scale solar PV,1992,
Small-scale solar PV,1992,10.9
Geothermal,1992,
,1992,
"Bagasse, wood",1993,670.0
Biogas,1993,
Wind,1993,
Hydro,1993,"16,953.0"
Large-scale solar PV,1993,
Small-scale solar PV,1993,13.3
Geothermal,1993,
,1993,
"Bagasse, wood",1994,670.0
Biogas,1994,
Wind,1994,4.0
Hydro,1994,"16,649.0"
Large-scale solar PV,1994,
Small-scale solar PV,1994,15.9
Geothermal,1994,
,1994,
"Bagasse, wood",1995,670.0
Biogas,1995,53.0
Wind,1995,7.0
Hydro,1995,"16,239.0"
Large-scale solar PV,1995,
Small-scale solar PV,1995,18.9
Geothermal,1995,
,1995,
"Bagasse, wood",1996,670.0
Biogas,1996,258.0
Wind,1996,7.0
Hydro,1996,"15,731.0"
Large-scale solar PV,1996,
Small-scale solar PV,1996,23.4
Geothermal,1996,
,1996,
"Bagasse, wood",1997,670.0
Biogas,1997,295.0
Wind,1997,7.0
Hydro,1997,"16,852.0"
Large-scale solar PV,1997,
Small-scale solar PV,1997,27.8
Geothermal,1997,
,1997,
"Bagasse, wood",1998,670.0
Biogas,1998,359.0
Wind,1998,8.0
Hydro,1998,"15,733.0"
Large-scale solar PV,1998,
Small-scale solar PV,1998,33.5
Geothermal,1998,
,1998,
"Bagasse, wood",1999,674.0
Biogas,1999,459.0
Wind,1999,28.0
Hydro,1999,"16,563.0"
Large-scale solar PV,1999,
Small-scale solar PV,1999,37.7
Geothermal,1999,
,1999,
"Bagasse, wood",2000,685.0
Biogas,2000,449.0
Wind,2000,58.0
Hydro,2000,"16,720.0"
Large-scale solar PV,2000,
Small-scale solar PV,2000,43.5
Geothermal,2000,
,2000,
"Bagasse, wood",2001,633.0
Biogas,2001,12.0
Wind,2001,210.0
Hydro,2001,"16,933.0"
Large-scale solar PV,2001,
Small-scale solar PV,2001,50.0
Geothermal,2001,
,2001,
"Bagasse, wood",2002,669.0
Biogas,2002,281.0
Wind,2002,364.0
Hydro,2002,"16,054.0"
Large-scale solar PV,2002,
Small-scale solar PV,2002,58.3
Geothermal,2002,
,2002,
"Bagasse, wood",2003,826.6
Biogas,2003,757.0
Wind,2003,703.1
Hydro,2003,"16,490.0"
Large-scale solar PV,2003,
Small-scale solar PV,2003,58.3
Geothermal,2003,
,2003,
"Bagasse, wood",2004,"1,058.2"
Biogas,2004,741.3
Wind,2004,705.0
Hydro,2004,"16,331.1"
Large-scale solar PV,2004,
Small-scale solar PV,2004,68.1
Geothermal,2004,0.5
,2004,
"Bagasse, wood",2005,"3,237.0"
Biogas,2005,593.0
Wind,2005,885.0
